temp1,temp2,temp3,temp4,temp5,temp6,temp7,temp8,temp9,temp10,temp11,temp12,temp13,temp14,temp15,temp16,temp17,temp18,temp19,temp20,temp21,temp22,temp23,temp24,temp25,temp26,temp27,temp28,temp29,temp30,temp31,temp32,temp33,temp34,temp35,temp36,temp37,temp38,temp39,temp40,temp41,temp42,temp43,temp44,temp45,temp46,temp47,temp48,group,use_state,累计里程,cellCapacity
32.75053304904051,32.60767590618337,32.47121535181237,32.37313432835821,32.46695095948827,32.18763326226013,32.53944562899787,32.12366737739872,32.61407249466951,32.52025586353945,32.71215351812367,32.64818763326226,32.908315565031984,32.62899786780384,32.62686567164179,32.24520255863539,32.52878464818763,32.424307036247335,32.74200426439232,32.720682302771856,32.727078891257996,32.60341151385928,32.37100213219616,32.066098081023455,31.6545842217484,31.573560767590617,32.505330490405115,32.21321961620469,32.91684434968017,32.624733475479744,32.6588486140725,32.53944562899787,33.46695095948827,33.38805970149254,33.59061833688699,32.63539445628998,33.39872068230277,33.37953091684435,33.52878464818763,33.33475479744136,33.908315565031984,33.360341151385924,33.47121535181237,32.582089552238806,33.33475479744136,33.32622601279318,33.05117270788912,33.41577825159915,0,1,130015.5,124.06970284237728
36.0,36.0,36.0,36.0,36.0,35.0,36.0,35.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,35.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,35.0,35.0,35.0,36.0,36.0,36.0,36.0,36.0,36.0,37.0,37.0,37.0,36.0,37.0,37.0,37.0,37.0,37.0,36.0,37.0,36.0,37.0,37.0,36.0,37.0,0,1,130015.5,124.06970284237728
24.0,24.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,23.0,24.0,24.0,24.0,23.0,23.0,23.0,23.0,24.0,24.0,24.0,24.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,0,1,130015.5,124.06970284237728
12.0,12.0,13.0,13.0,13.0,12.0,13.0,12.0,13.0,12.0,13.0,12.0,12.0,12.0,13.0,12.0,13.0,13.0,12.0,12.0,12.0,12.0,13.0,12.0,12.0,12.0,13.0,13.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,12.0,13.0,13.0,13.0,13.0,12.0,12.0,13.0,12.0,13.0,13.0,12.0,13.0,0,1,130015.5,124.06970284237728
0.15381328775902586,0.15381328775902586,0.16663106173894468,0.16663106173894468,0.16663106173894468,0.15381328775902586,0.16663106173894468,0.15381328775902586,0.16663106173894468,0.15381328775902586,0.16663106173894468,0.15381328775902586,0.15381328775902586,0.15381328775902586,0.16663106173894468,0.15381328775902586,0.16663106173894468,0.16663106173894468,0.15381328775902586,0.15381328775902586,0.15381328775902586,0.15381328775902586,0.16663106173894468,0.15381328775902586,0.15381328775902586,0.15381328775902586,0.16663106173894468,0.16663106173894468,0.15381328775902586,0.15381328775902586,0.15381328775902586,0.15381328775902586,0.16663106173894468,0.16663106173894468,0.16663106173894468,0.15381328775902586,0.16663106173894468,0.16663106173894468,0.16663106173894468,0.16663106173894468,0.15381328775902586,0.15381328775902586,0.16663106173894468,0.15381328775902586,0.16663106173894468,0.16663106173894468,0.15381328775902586,0.16663106173894468,0,1,130015.5,124.06970284237728
30.751295336787564,30.468911917098445,30.031088082901555,29.96113989637306,30.0,29.813471502590673,30.098445595854923,29.852331606217618,30.126943005181346,30.059585492227978,30.05440414507772,30.129533678756477,30.427461139896373,30.126943005181346,30.150259067357513,29.914507772020727,29.94818652849741,29.83419689119171,30.11139896373057,30.199481865284973,30.17616580310881,29.968911917098445,29.849740932642487,29.678756476683937,29.292746113989637,29.27720207253886,30.010362694300518,29.792746113989637,30.54663212435233,30.28238341968912,30.295336787564768,30.318652849740932,30.963730569948186,30.90414507772021,30.917098445595855,30.05440414507772,30.808290155440414,30.77720207253886,30.932642487046632,30.89378238341969,31.326424870466322,30.83160621761658,30.78238341968912,30.0440414507772,30.72020725388601,30.77720207253886,30.867875647668395,31.080310880829014,1,1,130254.0,122.29547491039428
33.0,33.0,33.0,33.0,33.0,32.0,33.0,32.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,32.0,32.0,32.0,33.0,32.0,33.0,33.0,33.0,33.0,34.0,34.0,34.0,33.0,34.0,34.0,34.0,34.0,34.0,33.0,34.0,33.0,33.0,33.0,34.0,34.0,1,1,130254.0,122.29547491039428
24.0,24.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,23.0,24.0,24.0,24.0,24.0,25.0,24.0,24.0,23.0,24.0,24.0,24.0,25.0,1,1,130254.0,122.29547491039428
9.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,1,1,130254.0,122.29547491039428
0.14025974025974025,0.14025974025974025,0.15584415584415584,0.15584415584415584,0.15584415584415584,0.14025974025974025,0.15584415584415584,0.14025974025974025,0.15584415584415584,0.15584415584415584,0.15584415584415584,0.15584415584415584,0.15584415584415584,0.14025974025974025,0.15584415584415584,0.15584415584415584,0.15584415584415584,0.15584415584415584,0.15584415584415584,0.15584415584415584,0.15584415584415584,0.15584415584415584,0.15584415584415584,0.14025974025974025,0.14025974025974025,0.14025974025974025,0.15584415584415584,0.14025974025974025,0.14025974025974025,0.14025974025974025,0.14025974025974025,0.14025974025974025,0.15584415584415584,0.15584415584415584,0.15584415584415584,0.15584415584415584,0.15584415584415584,0.15584415584415584,0.15584415584415584,0.15584415584415584,0.14025974025974025,0.14025974025974025,0.15584415584415584,0.15584415584415584,0.14025974025974025,0.14025974025974025,0.15584415584415584,0.14025974025974025,1,1,130254.0,122.29547491039428
30.033333333333335,29.76,29.393333333333334,29.26,29.386666666666667,29.046666666666667,29.56,29.16,29.566666666666666,29.413333333333334,29.366666666666667,29.413333333333334,29.58,29.326666666666668,29.56,29.24,29.26,28.973333333333333,29.326666666666668,29.326666666666668,29.413333333333334,29.273333333333333,29.093333333333334,28.886666666666667,28.9,28.766666666666666,29.406666666666666,29.0,29.80666666666667,29.553333333333335,29.773333333333333,29.8,30.273333333333333,30.16,30.026666666666667,29.273333333333333,29.84,29.8,30.14,30.12,30.72,30.06,29.8,29.153333333333332,29.726666666666667,29.866666666666667,30.113333333333333,30.56,2,1,130422.8,120.16870915032678
33.0,32.0,32.0,32.0,32.0,31.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,31.0,31.0,31.0,32.0,32.0,32.0,32.0,32.0,32.0,33.0,33.0,33.0,32.0,32.0,32.0,33.0,33.0,33.0,32.0,32.0,32.0,32.0,32.0,33.0,33.0,2,1,130422.8,120.16870915032678
25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,24.0,25.0,25.0,25.0,25.0,25.0,24.0,24.0,25.0,25.0,25.0,25.0,24.0,24.0,24.0,24.0,25.0,24.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,26.0,26.0,25.0,25.0,25.0,25.0,25.0,26.0,2,1,130422.8,120.16870915032678
8.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,8.0,8.0,7.0,6.0,7.0,7.0,7.0,7.0,8.0,7.0,2,1,130422.8,120.16870915032678
