pred,target
0.027634665,0.14057979
0.026197968,-0.12147633
0.025943644,0.15290087
0.023428146,-0.0152609125
0.024854738,0.0045309216
0.025694001,-0.020059396
0.027144162,0.0
0.022090089,-0.024755165
0.024157176,0.0
0.016221663,0.0
0.010096628,0.1187657
0.010251982,0.020267231
0.012879232,0.10288414
0.009886509,-0.025067879
0.0065789726,0.34918016
0.00846076,0.15086955
0.009886313,-0.073381975
0.011213886,-0.0041566356
0.0051512457,-0.060112
0.008463655,0.004275322
0.011332726,0.0
0.0038094018,0.13310549
0.0035248008,0.09524813
0.009180382,-0.09055587
0.011151828,0.13022134
0.011690868,0.08851229
0.011857623,0.31743485
0.007554194,0.0
0.004786376,0.0
0.010702433,-0.0040006046
0.015594553,0.31470332
0.01620317,-0.068333946
0.012606215,0.037979126
0.008777462,0.22853936
0.005700769,-0.050944917
0.008958455,0.10575137
0.008311059,0.04384331
0.010250721,0.0059594046
0.01799305,0.088091105
0.015903879,-0.016133763
0.011890195,0.0
0.017237453,0.011163213
0.01797315,0.0
0.015053298,0.022947947
0.019363843,0.0
0.019849641,-0.036564115
0.0223733,0.11861698
0.022184752,-0.08452596
0.016858013,0.0
0.017137958,0.060549762
0.012429984,0.06870272
0.011179734,-0.11268214
0.008134559,-0.08737905
0.007823819,0.03688531
0.0049686152,0.030899048
0.007941442,-0.089412026
0.008716507,0.19085005
0.00702806,-0.042225085
0.006884802,-0.07019846
0.0074872207,-0.048051532
0.00662842,0.13113053
0.010334462,-0.05496381
0.012413932,-0.29152864
0.015260996,-0.019484397
0.014296139,0.0017957487
0.015803652,-0.13676906
0.018939134,0.12114127
0.014614314,-0.035991292
0.018023027,-0.035684034
0.013609601,0.14641114
0.017609332,-0.15655729
0.022177124,-0.01675857
0.019477725,-0.03470459
0.013930874,-0.09847891
0.015672741,-0.11055821
0.006502684,0.10860029
0.0062049665,0.01803125
0.0063558165,0.009881761
0.009225182,-0.030972375
0.0074963346,0.0012250562
0.0074096024,-0.02671979
0.0018444732,-0.093035094
0.004669411,-0.12377292
0.010590252,-0.05825895
0.010631846,-0.01775084
0.0143483225,0.0
0.012295151,-0.023541061
0.010055447,0.13339792
0.013992142,0.0
0.018920943,-0.054845586
0.017021794,0.09238867
0.0138163585,-0.15363066
0.010536965,0.008984136
0.010167431,-0.011219339
0.007779386,0.0
0.005769238,0.06516278
0.0059113465,-0.040702514
0.00657372,-0.100272216
0.0059115104,-0.12046814
0.0043000225,0.1637738
0.00032180548,0.0049007945
0.0019148309,0.11854201
0.011001229,-1.0481764
0.013071606,0.114710085
0.019497506,-0.045979615
0.025888793,-0.01468764
0.02634713,0.1134154
0.020924103,0.0
0.013953039,0.22911708
0.011687476,0.064206555
0.007903269,0.0
0.009026187,-0.045811202
0.009391049,0.116146885
0.008390419,0.0
0.005620355,0.031949095
0.005734371,0.028102033
0.0073417854,0.081046395
0.007930944,0.0
0.0033598077,-0.0528706
0.0028974786,0.0
0.005725926,-0.024959786
0.0067447275,-0.10248544
0.006384203,0.082181655
0.0031917319,-0.1913515
0.005285833,-0.03737868
