容量变化量,概率
-0.1238633,0.06666666666666667
-0.1143890185,0.0
-0.104914737,0.0
-0.0954404555,0.06666666666666667
-0.08596617399999999,0.0
-0.07649189249999999,0.0
-0.06701761099999999,0.0
-0.05754332949999999,0.13333333333333333
-0.04806904799999999,0.0
-0.03859476649999999,0.2
-0.029120484999999988,0.0
-0.019646203499999987,0.0
-0.010171921999999986,0.13333333333333333
-0.0006976404999999852,0.06666666666666667
0.008776641000000016,0.06666666666666667
0.018250922500000002,0.06666666666666667
0.027725204000000017,0.06666666666666667
0.03719948550000003,0.0
0.04667376700000002,0.06666666666666667
0.056148048500000006,0.06666666666666667
