容量变化量,概率
-0.304626,0.005154639175257732
-0.2772888595,0.0
-0.24995171900000002,0.005154639175257732
-0.2226145785,0.005154639175257732
-0.195277438,0.010309278350515464
-0.1679402975,0.010309278350515464
-0.14060315699999998,0.015463917525773196
-0.11326601649999998,0.005154639175257732
-0.08592887599999999,0.04639175257731959
-0.05859173549999999,0.0979381443298969
-0.031254594999999996,0.22164948453608246
-0.003917454499999973,0.27319587628865977
0.02341968600000005,0.12371134020618557
0.05075682650000002,0.05154639175257732
0.07809396700000004,0.06701030927835051
0.10543110750000001,0.020618556701030927
0.13276824800000003,0.010309278350515464
0.16010538850000006,0.010309278350515464
0.18744252900000002,0.005154639175257732
0.2147796695,0.015463917525773196
