容量变化量,概率
-1.045897,0.005235602094240838
-0.982940247,0.0
-0.919983494,0.0
-0.8570267410000001,0.0
-0.7940699880000001,0.0
-0.731113235,0.0
-0.6681564820000001,0.0
-0.6051997290000001,0.0
-0.542242976,0.0
-0.479286223,0.0
-0.41632947,0.0
-0.35337271700000006,0.0
-0.290415964,0.010471204188481676
-0.227459211,0.010471204188481676
-0.16450245800000007,0.03664921465968586
-0.10154570500000004,0.17277486910994763
-0.03858895200000001,0.49214659685863876
0.02436780099999991,0.193717277486911
0.08732455400000005,0.06282722513089005
0.15028130699999998,0.015706806282722512
