group,数据采集时间,部分区域容量,累计里程,安时容量,result_svm_partial,result_svm_Ah,SOH1,SOH2,SOH3
0,2022-01-01 05:43:41,21.247835648148158,130015.5,124.06970284237728,1.0,1,0.9152719064976229,0.964396372349816,0.9380713535563393
1,2022-01-02 00:43:29,21.09643518518519,130254.0,122.29547491039428,1.0,1,0.9021832882075438,0.957524610930375,0.9278680775623007
3,2022-01-03 01:06:52,21.021474247685166,130559.8,123.63416666666666,1.0,1,0.9120589220480849,0.9541222852822441,0.93158119891221
10,2022-01-07 00:26:44,21.06679398148148,131820.4,121.18903399668324,1.0,1,0.8940209870065339,0.9561792565235873,0.9228696299491261
11,2022-01-08 00:58:30,21.361276041666674,132065.4,120.59604851330204,1.0,1,0.8896464866936795,0.9695452028377216,0.9267287534864934
12,2022-01-09 01:42:24,21.276600694444436,132375.3,124.99840067340064,1.0,1,0.9221229830689985,0.9657019597403615,0.9423486802700892
27,2022-01-17 00:54:07,21.021935763888877,134640.9,121.89030131826742,1.0,1,0.8991942909130183,0.9541432325711826,0.9246969699658
29,2022-01-18 01:55:16,21.070014467592596,134961.7,116.77207977207978,1.0,1,0.8614367700587303,0.9563254278877766,0.9054761075480237
31,2022-01-19 00:23:52,21.12272135416666,135206.5,123.04138888888887,1.0,1,0.9076859539957203,0.9587176870830943,0.9313705941573229
36,2022-01-21 01:26:59,21.052471064814814,135798.8,124.25101010101008,1.0,1,0.916609424332106,0.9555291682461957,0.9346726973980761
37,2022-01-22 00:14:35,21.13798321759259,136036.7,119.27937158469943,1.0,1,0.8799332579595496,0.9594103922586705,0.9168198619031609
45,2022-01-27 00:31:52,20.991581018518527,137287.7,123.3275875190259,1.0,1,0.9097972636856879,0.952765491948395,0.9297395028222932
47,2022-01-28 01:59:58,21.046882233796293,137625.5,122.83897180762852,1.0,1,0.9061927073478403,0.9552755024870477,0.9289728143649271
49,2022-01-29 01:47:49,21.09479166666666,137959.6,123.44419191919192,1.0,1,0.9106574634701716,0.9574500149421808,0.932374631922207
60,2022-02-03 00:11:21,20.77847077546295,139552.4,123.33703703703704,1.0,1,0.9098669735194942,0.9430928481687308,0.925287631167439
62,2022-02-04 00:17:44,21.77178096064814,139892.2,123.48454616588418,1.0,1,0.9109551599057972,0.9881771925261389,0.9467951352409254
65,2022-02-05 01:09:30,21.661535011574074,140272.4,122.77083333333331,1.0,1,0.9056900444910327,0.9831733514237366,0.9416512813961174
70,2022-02-07 18:45:06,21.293567997685187,141286.9,122.64115497076024,1.0,1,0.9047333970628162,0.9664720713867855,0.9333872991929669
73,2022-02-09 02:39:46,21.664526909722223,141871.1,122.27911324786326,1.0,1,0.9020625869427292,0.9833091476416806,0.9397704098620056
85,2022-02-14 00:14:31,21.773081597222205,143473.7,123.98315118397086,1.0,1,0.9146334081407692,0.9882362257949643,0.9487936481630892
88,2022-02-15 16:33:38,20.94125723379628,143879.3,121.7667624521073,1.0,1,0.8982829350302645,0.9504813969359565,0.9225090726201579
100,2022-02-21 01:06:23,21.920221354166657,145384.3,122.3927777777778,1.0,1,0.9029010990743187,0.994914602368252,0.9456060315482746
103,2022-02-23 00:08:42,21.81968171296296,145927.3,124.69621031746031,1.0,1,0.9198937011664048,0.990351310988377,0.9525942001367775
107,2022-02-24 23:30:42,21.47366319444444,146429.0,122.42127976190476,1.0,1,0.9031113604415438,0.9746462288543197,0.9363118322825321
112,2022-02-28 00:50:45,21.30425636574073,147270.4,121.7545731707317,1.0,1,0.8981930137477282,0.9669571948388771,0.9301075654711164
113,2022-03-01 00:42:18,22.00533275462962,147586.3,124.31638071895424,1.0,1,0.9170916684960232,0.9987776370420566,0.9550034275960382
