group,,数据采集时间,部分区域容量,累计里程,安时容量,SOH1,SOH2,SOH3
1,0,2022-01-01 13:38:24,21.22609809027779,240244.5,119.96969696969698,1.0,1.0,1.0
4,0,2022-01-03 12:45:33,21.203022280092586,240670.8,123.61298309178744,1.030368386468549,0.9989128567065384,1.0258351993574337
10,0,2022-01-06 13:08:26,21.226708622685177,241752.8,123.7008744855967,1.0311009997536476,1.000028763289644,1.026623050632528
11,0,2022-01-06 20:44:07,20.765050636574067,241872.0,119.55864197530862,0.9965736764802182,0.9782792177939242,0.9939371860141859
13,0,2022-01-08 12:58:25,21.44840422453703,242214.9,122.67390661938536,1.0225407725283446,1.010473245403547,1.0208016710463776
15,0,2022-01-09 12:56:20,21.260309606481478,242566.3,128.13843351548272,1.0680899989924044,1.0016117666119406,1.0585095446660302
17,0,2022-01-10 12:21:53,21.29069444444443,242898.4,124.99209595959596,1.0418638966068872,1.0030432514676932,1.0362692921121726
23,0,2022-01-13 12:03:42,21.306264756944454,243855.5,127.45944444444444,1.0624303275237854,1.0037767971449911,1.053977523519331
24,0,2022-01-14 13:11:18,21.45154947916666,244118.4,123.81589834515366,1.0320597740313389,1.0106214240568374,1.028970204326957
31,0,2022-01-17 22:37:41,21.052369791666667,245270.1,127.78653846153846,1.0651567995025937,0.9918153445879582,1.0545872576559008
32,0,2022-01-18 12:46:06,21.379202256944435,245413.5,125.41924119241192,1.0454243393153808,1.0072130151295575,1.0399175465953605
34,0,2022-01-19 13:35:23,21.18507378472221,245847.4,132.07572298325724,1.1009090321918384,0.9980672705185334,1.0860880785461982
37,0,2022-01-20 21:58:29,20.961671730324067,246368.1,129.027920751634,1.0755042649163733,0.9875423943284781,1.0628277142101694
38,0,2022-01-21 12:22:11,21.341963252314816,246576.0,127.43689083820664,1.0622423333318562,1.0054586180438927,1.0540589961503755
40,0,2022-01-22 12:50:00,20.768239293981477,246806.8,126.08557347670252,1.050978510919723,0.978429441230839,1.040523163000762
41,0,2022-01-22 22:19:47,21.22247251157407,247014.7,128.95391414141417,1.0748873873873874,0.9998291924079358,1.0640704389958409
43,0,2022-01-23 12:41:54,20.130736400462954,247308.7,125.79938271604937,1.0485929855088731,0.9483955230416773,1.0341531128105181
45,0,2022-01-24 11:49:18,20.35477864583333,247561.3,128.5212962962963,1.0712813280570288,0.9589505597901882,1.0550928742385237
46,0,2022-01-24 21:45:56,21.081397569444437,247798.3,129.24173699015472,1.0772865169676953,0.9931828958757318,1.0651659946297545
49,0,2022-01-25 22:04:36,20.918621238425924,248187.2,127.29525089605734,1.061061702341473,0.9855142075314963,1.050174238918007
50,0,2022-01-26 12:04:35,21.275789930555558,248361.2,127.74554507337524,1.0648151016472298,1.0023410727711903,1.0558117097278117
62,0,2022-02-03 15:12:26,20.871613136574062,249925.5,124.90916666666666,1.0411726446072238,0.9832995705477262,1.0328323154062202
65,0,2022-02-08 12:41:21,21.455409722222225,250344.0,122.92401819923374,1.024625562155775,1.0108032871123622,1.0226335766591974
76,0,2022-02-12 22:04:03,20.517157118055554,252137.3,121.1761982570806,1.0100567169698558,0.9666005042845367,1.003794061572429
82,0,2022-02-15 22:16:09,20.696886574074068,253254.5,127.72612847222224,1.0646532557674497,0.9750678851123317,1.051742735719915
83,0,2022-02-16 13:27:08,20.932881944444443,253433.9,125.86915204678364,1.049174543456393,0.9861860552709096,1.0400970106679954
88,0,2022-02-18 23:29:39,21.043315972222203,254347.8,130.60157295850067,1.0886213457010663,0.9913888027239774,1.0746087598714984
91,0,2022-02-19 21:32:58,20.610499131944433,254644.8,128.69055958132046,1.0726922117159825,0.9709980159464484,1.0580366385615783
99,0,2022-02-24 12:42:30,20.38557002314813,255652.7,124.3276909722222,1.0363257898669695,0.9604011974525526,1.025383981340655
100,0,2022-02-24 23:52:12,21.41599247685184,255902.2,130.47454289732772,1.0875624944712843,1.00894626915255,1.076232783541735
102,0,2022-02-25 21:52:33,21.107576678240722,256224.9,124.50318761384332,1.0377886312848772,0.9944162411983126,1.0315380559104916
103,0,2022-02-26 13:03:03,21.066950231481474,256330.3,124.63541666666669,1.038890818388482,0.992502255566735,1.0322055698271726
104,0,2022-02-27 12:13:34,21.418987268518524,256516.5,129.86067019400355,1.082445596464288,1.009087359222611,1.0718736360467043
115,0,2022-03-04 13:36:54,20.614283854166654,258259.9,127.02146464646464,1.0587795739664896,0.9711763210784667,1.046154705147292
121,0,2022-03-07 12:43:36,21.052037037037035,259183.3,127.1949494949495,1.0602256462069546,0.9917996679135068,1.0503644941229757
122,0,2022-03-07 20:01:28,20.49840856481482,259356.7,122.98986486486488,1.0251744229705837,0.9657172259183955,1.0166057992220963
126,0,2022-03-09 12:53:26,21.27519386574074,259762.3,121.95704134366926,1.016565386294793,1.0023129910760864,1.0145114143923395
128,0,2022-03-10 12:49:53,20.976261574074062,260052.2,122.7037037037037,1.0227891442844712,0.988229748343707,1.017808646119859
129,0,2022-03-10 21:24:54,19.990205439814815,260241.4,124.47265625000004,1.0375341389871182,0.9417748544642289,1.0237338705556818
130,0,2022-03-11 12:24:37,20.70012008101851,260352.7,124.20545977011491,1.0353069392305612,0.9752202214923243,1.0266475926399607
136,0,2022-03-15 12:13:18,20.818956886574068,261387.5,126.8318853427896,1.0571993473887489,0.9808188390550119,1.0461918349246893
140,0,2022-03-20 13:09:52,21.04691869212962,262114.6,122.8520202020202,1.0240254272964553,0.991558533396666,1.0193464882966035
144,0,2022-03-22 22:45:55,21.111934317129634,262745.4,130.83347800925927,1.0905543759296679,0.9946215374741697,1.0767290959197797
145,0,2022-03-23 13:06:34,21.53915653935185,262876.5,123.6291989664083,1.0305035528899906,1.0147487516425568,1.0282330630113141
148,0,2022-03-24 15:38:18,14.86548900462961,263254.0,129.60751028806587,1.080335397702999,0.7003401633877525,1.0255727053714427
153,0,2022-03-27 12:25:00,20.572666377314828,263972.4,122.30452674897116,1.0194618294306763,0.969215646220807,1.0122206431644445
