group,,数据采集时间,部分区域容量,累计里程,安时容量,SOH1,SOH2,SOH3
5,0,2022-08-29 22:41:03,15.639673032407403,69963.3,135.99272486772486,1.0,1.0,1.0
7,0,2022-09-05 21:36:49,15.710802951388851,70180.4,137.55114734299516,1.0114596018043327,1.0045480438647316,1.0045840623593474
11,0,2022-09-13 23:25:40,15.857835648148134,70503.2,131.67418699186993,0.9682443463056174,1.0139493079739372,1.0137111237714542
17,0,2022-09-18 02:35:10,15.628093171296271,70718.4,129.38088624338627,0.9513809387173492,0.9992595841941748,0.9990100721811985
21,0,2022-09-30 22:10:50,15.29614149305552,70957.3,134.19985224586284,0.986816407836479,0.9780346086110597,0.9780803735732985
24,0,2022-10-06 00:19:47,15.661050347222192,71212.9,129.95568181818183,0.955607602866881,1.0013668645610745,1.0011283973825669
27,0,2022-10-15 00:24:55,15.70085185185181,71501.7,121.60410997732424,0.8941957012450784,1.0039117710017107,1.0033400030005863
29,0,2022-10-22 00:55:03,15.38890075231478,71750.5,132.7626446759259,0.9762481397814425,0.9839656315337929,0.9839254130421652
31,0,2022-10-30 22:29:39,15.275585937499956,72003.3,126.6973108747045,0.9316477112870437,0.9767202873005714,0.9764853986762345
35,0,2022-11-12 00:55:08,15.453587962962926,72331.0,130.85807291666663,0.9622431864935972,0.9881017289134572,0.9879669711961585
38,0,2022-12-03 02:58:27,16.528916087962937,72643.7,141.84561631944445,1.0430382688295456,1.0568581615301618,1.0567861413380175
48,0,2022-12-22 02:01:50,15.97997598379625,73132.2,136.43837719298247,1.003277030633007,1.0217589556177866,1.0216626399793491
