group,数据采集时间,部分区域容量,累计里程,安时容量,SOH1,SOH2,SOH,加权容量,平均容量
33,2022-05-08 19:45:29,21.212158564814803,3650.7,123.50544294294296,0.9693149931403674,0.9846439045985279,0.9737786457468538,140.9229100119572,140.9229100119572
56,2022-06-25 09:03:43,19.068022280092602,60345.3,122.6292270531401,0.962438136712217,0.8851155743284452,0.9399224441878931,133.18442492799338,133.18442492799338
111,2022-09-28 13:09:41,20.56614149305555,65516.4,124.69781144781145,0.9786731286328358,0.9546565381534434,0.9716796955384601,141.15003356629484,140.77321185187233
112,2022-09-29 07:16:20,20.760920138888874,65655.9,121.13050314465409,0.9506756141831932,0.9636979379609981,0.9544676074784748,135.4307673031588,140.77321185187233
115,2022-09-30 06:58:41,20.708663194444437,65929.6,121.09953703703708,0.9504325810692096,0.9612722309466489,0.9535889977241622,135.22673952780576,141.05947202353386
116,2022-09-30 11:59:42,19.64798611111111,65995.4,127.119341563786,0.9976781651059201,0.9120368256171856,0.9727401132895683,142.76646694968662,141.05947202353386
117,2022-10-01 02:18:49,20.767365451388887,66212.6,125.64478228228226,0.9861052952325157,0.9639971219241473,0.9796675774805473,143.43523408396965,140.97978644617373
120,2022-10-01 20:07:29,20.218355034722215,66433.7,122.98388888888888,0.9652216499460815,0.9385126923843545,0.957444221759981,137.1081609877248,141.07244915600023
121,2022-10-02 02:04:20,20.603269675925926,66585.3,124.76707175925924,0.9792167083870247,0.9563799855263465,0.97256684301342,141.382374037401,140.68751095255774
122,2022-10-02 06:50:31,20.56118489583332,66748.2,125.96829710144928,0.9886443555139849,0.954426458634308,0.9786803861210935,143.40553001922436,140.68751095255774
123,2022-10-03 02:26:35,20.98906105324073,66992.2,125.79318873668188,0.9872700422906256,0.9742879757461532,0.9834897715697086,144.3588413163789,140.77675792669058
126,2022-10-04 06:00:39,20.760425636574066,67432.6,121.05577160493829,0.9500890942681118,0.9636749837346003,0.9540451932444839,135.2990613024765,140.18484947865895
127,2022-10-04 23:42:59,21.053136574074056,67626.2,125.83614916286147,0.9876072111166734,0.9772622874282827,0.9845948546482037,144.6264349395365,140.18484947865895
129,2022-10-06 01:09:22,21.175659288194435,67966.9,125.89066091954022,0.9880350389256513,0.9829496503274838,0.9865542157026088,145.0888981888104,140.0203211400277
130,2022-10-07 00:53:29,21.23067997685185,68204.5,126.74661680911682,0.9947528876087793,0.9855036471566042,0.9920595850631252,146.802295648251,140.22600864638963
132,2022-10-07 08:31:18,19.51522280092591,68353.4,125.07891414141412,0.9816641591982329,0.9058741060745823,0.9595947207325926,138.751770458755,140.33520305226108
133,2022-10-08 00:00:55,21.07280092592592,68544.2,123.13868464052288,0.9664365424994614,0.9781750839326864,0.9698547089627343,139.86418836313175,140.4839363648738
134,2022-10-09 01:23:48,19.366118344907402,68817.0,127.41517857142856,1.0,0.8989528494132906,0.9705759030362021,142.46238980339768,140.31033061669172
135,2022-10-10 00:14:00,20.98700086805556,69038.6,120.23996913580248,0.9436863840236768,0.974192344328977,0.9525694680966579,134.5284996974777,140.36761096896538
137,2022-10-11 01:03:10,21.239233217592588,69312.8,124.22974537037038,0.974999578254545,0.9859006787144345,0.9781738888123539,142.2939564869488,140.0974321610524
141,2022-10-13 00:51:22,18.573706597222213,69777.3,121.316975308642,0.9521391145767777,0.8621700111695345,0.9259408535963352,129.5304974140893,139.23171736495758
144,2022-10-14 01:04:18,21.25183159722221,70192.8,121.15911835748794,0.9509001966321188,0.9864854809481263,0.9612623379702857,136.89428270603403,139.13424659748438
146,2022-10-15 01:01:46,20.50631510416666,70511.5,124.41310541310544,0.976438653604836,0.9518794662692411,0.9692872207804683,140.46854235030264,138.70891434096106
147,2022-10-16 00:49:23,21.086681134259262,70774.4,124.54594017094016,0.9774811884058231,0.978819387174538,0.9778708608517939,142.40989676381867,138.38536832558654
151,2022-10-18 12:55:16,21.54297453703703,71386.4,121.35580808080807,0.9524438880943559,1.0,0.9662918357089909,138.0819269763776,138.09073804242027
155,2022-10-20 12:01:15,20.585849247685182,71975.4,123.3941570881226,0.9684415818555574,0.9555713493646691,0.9646938762888027,138.8966304201768,138.02664003246164
156,2022-10-21 01:57:01,20.98834201388889,72177.7,120.19819223985893,0.9433585039672192,0.9742545987697935,0.9523551919885558,134.45972893542682,138.02664003246164
157,2022-10-21 12:05:41,20.90026620370371,72268.8,121.5016203703704,0.95358827521681,0.9701662213716882,0.9584156364267946,136.48019474926747,138.02664003246164
163,2022-10-24 12:54:14,20.802473958333337,73126.7,124.93760683760684,0.98055512881903,0.9656268182729079,0.9762081278945669,142.27265143300767,139.0532968363129
165,2022-10-25 05:45:53,20.740740162037017,73524.0,124.19741161616162,0.9747458113598054,0.962761206739543,0.9712559933256315,140.77204857611545,138.49386351506197
