group,数据采集时间,部分区域容量,累计里程,安时容量,result_svm_partial,result_svm_Ah,SOH1,SOH2,SOH3
0,2021-01-18 23:33:41,21.07189076967592,193874.4,134.25633680555555,1.0,1,0.90408563847124,0.9801405087199516,0.90408563847124
1,2021-04-22 13:30:09,21.30880208333333,223372.8,134.57934782608694,1.0,1,0.9062608030234602,0.9911602305867643,0.9062608030234602
2,2021-04-23 01:35:08,21.45356119791666,223634.1,134.7584280303031,1.0,1,0.9074667337424013,0.9978935737765333,0.9074667337424013
9,2021-07-29 13:52:20,17.393185763888884,265016.0,132.74555555555557,1.0,1,0.8939119985262234,0.8090287734127648,0.8939119985262234
10,2021-07-30 00:10:55,21.385396412037025,265277.7,133.15972222222223,1.0,1,0.8967010075531056,0.994722948575448,0.8967010075531056
16,2022-01-04 13:21:46,20.461630497685196,336603.6,129.2392605633803,1.0,1,0.8703005175183629,0.9517547876672715,0.8703005175183629
17,2022-01-05 00:46:32,20.8349855324074,336875.9,134.40427234299517,1.0,1,0.9050818401999703,0.9691210694910363,0.9050818401999703
18,2022-01-05 14:15:50,20.986077835648143,337135.6,131.4952614379085,1.0,1,0.8854924856561016,0.9761489953938776,0.8854924856561016
19,2022-01-06 00:02:55,21.173221932870362,337391.1,134.0766374269006,1.0,1,0.9028755382156413,0.9848538388585794,0.9028755382156413
20,2022-01-06 14:27:23,20.722860243055546,337630.5,129.19499269005846,1.0,1,0.8700024165164422,0.963905660045964,0.8700024165164422
22,2022-01-07 14:20:56,21.097214988425918,338178.3,130.43808567603747,1.0,1,0.8783734367799823,0.9813184425332893,0.8783734367799823
23,2022-01-08 01:12:08,20.99287471064815,338477.4,133.0929951690821,1.0,1,0.8962516658544051,0.9764651460702943,0.8962516658544051
24,2022-01-08 14:35:07,21.034205729166658,338793.1,133.56063321385903,1.0,1,0.8994007525220827,0.9783876221290134,0.8994007525220827
27,2022-01-10 00:04:09,21.320458622685166,339630.1,134.54521276595744,1.0,1,0.9060309366472002,0.991702424286186,0.9060309366472002
28,2022-01-10 13:13:11,21.30095341435185,339852.0,128.8075396825397,1.0,1,0.8673932979599935,0.9907951566362408,0.8673932979599935
32,2022-01-12 14:10:16,21.3453833912037,340843.2,127.71738215488216,1.0,1,0.8600521490214973,0.9928617780225218,0.8600521490214973
33,2022-01-13 00:24:48,21.416375868055557,341113.3,129.67899061032864,1.0,1,0.8732616710080939,0.9961639307879018,0.8732616710080939
34,2022-01-13 13:47:45,20.694829282407394,341413.6,129.57111780455156,1.0,1,0.8725352527487763,0.96260182450838,0.8725352527487763
38,2022-01-14 14:07:01,20.988000578703687,342012.5,123.0542005420054,1.0,1,0.8286501636396753,0.9762384300999132,0.8286501636396753
39,2022-01-14 23:48:02,21.24592158564815,342310.4,133.6745421245421,1.0,1,0.9001678180676862,0.9882353994141194,0.9001678180676862
40,2022-01-15 13:52:47,21.07916956018519,342597.6,132.10864197530864,1.0,1,0.8896230060320924,0.9804790752734043,0.8896230060320924
41,2022-01-16 00:01:19,20.829930555555556,342861.2,134.48203502415458,1.0,1,0.9056054961026861,0.9688859416784782,0.9056054961026861
42,2022-01-16 12:34:12,21.20567563657406,343103.7,130.02879403794037,1.0,1,0.8756172563213579,0.986363394408467,0.8756172563213579
43,2022-01-17 00:02:19,21.267647569444428,343423.3,135.6144781144781,1.0,1,0.9132313971119643,0.9892459644860099,0.9132313971119643
44,2022-01-17 13:14:29,20.615648148148157,343687.4,130.30868055555555,1.0,1,0.8775020193574901,0.9589187835291835,0.8775020193574901
45,2022-01-17 23:42:55,17.290089699074084,344015.0,135.72291666666666,1.0,1,0.9139616251222242,0.8042333504239546,0.9139616251222242
48,2022-01-19 02:36:08,21.409192708333336,344532.3,141.24712643678163,1.0,1,0.9511617963461481,0.9958298124165933,0.9511617963461481
49,2022-01-19 14:31:12,21.14004050925925,344797.6,132.3125780274657,1.0,1,0.8909963166728314,0.9833104340557673,0.8909963166728314
50,2022-01-19 23:50:33,21.069917534722222,345067.0,134.02022283272285,1.0,1,0.9024956408818555,0.9800487254275797,0.9024956408818555
51,2022-01-20 13:58:17,21.48503327546297,345338.9,131.27793383270912,1.0,1,0.8840289959514132,0.99935746984708,0.8840289959514132
52,2022-01-21 00:18:05,21.130706018518513,345634.3,135.51388888888889,1.0,1,0.9125540266696898,0.98287624840991,0.9125540266696898
54,2022-01-22 02:18:04,21.09244357638889,346183.8,135.01643990929708,1.0,1,0.9092041923972675,0.9810965044892664,0.9092041923972675
56,2022-01-23 00:05:07,20.77919560185185,346687.4,131.6441570881226,1.0,1,0.8864951528090447,0.9665260498265047,0.8864951528090447
57,2022-01-23 13:31:52,20.998758391203697,346940.8,130.51060126582277,1.0,1,0.8788617586339079,0.9767388203084486,0.8788617586339079
58,2022-01-24 00:02:34,20.9481105324074,347208.4,134.0637077294686,1.0,1,0.9027884692992968,0.9743829795996681,0.9027884692992968
59,2022-01-24 13:50:09,20.41996672453703,347453.4,130.1841216216216,1.0,1,0.8766632362803377,0.9498168338189438,0.8766632362803377
60,2022-01-25 00:33:32,21.18507378472223,347747.3,135.61406619385343,1.0,1,0.9132286232278424,0.9854051173475549,0.9132286232278424
95,2022-02-17 02:25:57,17.14398582175927,350212.7,133.24611708482675,1.0,1,0.8972827927885508,0.7974374567757501,0.8972827927885508
109,2022-02-22 14:51:54,21.4911255787037,352694.1,135.632343550447,1.0,1,0.9133517034190544,0.9996408479863704,0.9133517034190544
110,2022-02-23 00:07:55,21.45487268518519,352943.1,135.39915824915823,1.0,1,0.9117814275794633,0.9979545764560085,0.9117814275794633
116,2022-02-25 14:33:04,21.31851273148148,354271.0,130.7275925925926,1.0,1,0.8803229838309692,0.991611912864352,0.8803229838309692
