Pred,group,累计里程_Pred,数据采集时间,累计里程,安时容量,平均容量,平均容量_pred,decline,decline_avg
134.54750061035156,0.0,35175.3984375,2022-01-01 08:20:34,35175.4,142.46965020576135,138.22371927241915,133.62269816679114,,
131.92491149902344,1.0,35274.1015625,,,,,133.7666384379069,-2.622589111328125,0.1439402711157527
123.98161315917967,2.0,35274.1015625,,,,,133.7666384379069,-7.943298339843764,0.0
131.45689392089844,3.0,35502.19921875,2022-01-02 02:43:43,35502.2,136.60895931142412,137.7716884038714,133.38695164730674,7.475280761718764,-0.37968679060014665
135.91513061523438,4.0,35650.6015625,2022-01-02 17:37:13,35650.6,136.22093023255815,138.05444616635748,133.52753143310548,4.4582366943359375,0.1405797857987352
136.4232635498047,5.0,35804.1015625,2022-01-03 17:49:10,35804.1,140.5998498498499,138.11457148460565,133.40605510364878,0.5081329345703125,-0.12147632945669784
133.8152618408203,6.0,36066.5,2022-01-04 04:41:37,36066.5,143.17083333333335,138.11457148460565,133.55895598038384,-2.608001708984375,0.15290087673506036
130.73089599609375,7.0,36265.5,2022-01-04 12:26:58,36265.5,135.11843093093094,137.9449339666932,133.54369506835937,-3.0843658447265625,-0.015260912024473328
134.43096923828125,8.0,36472.6015625,2022-01-05 02:06:25,36472.6,137.05470085470088,137.77169985516412,133.54822598970853,3.7000732421875,0.004530921349157779
137.08529663085938,9.0,36704.69921875,,,,,133.5281665943287,2.654327392578125,-0.020059395379831813
133.87283325195312,10.0,36704.69921875,2022-01-05 15:10:26,36704.7,133.23245614035088,137.92927858466123,133.5281665943287,-3.21246337890625,0.0
127.59809112548828,12.0,36892.69921875,,,,,133.50341142926897,-6.274742126464844,-0.02475516505973019
135.71774291992188,11.0,36892.69921875,2022-01-05 22:59:57,36892.7,141.68214285714285,137.80577143136395,133.50341142926897,8.119651794433594,0.0
135.32150268554688,13.0,36991.5,2022-01-06 03:56:59,36991.5,132.2412037037037,137.80577143136395,133.50341142926897,-0.396240234375,0.0
136.9345245361328,14.0,37159.6015625,2022-01-06 16:20:29,37159.6,139.02777777777774,138.04000828018502,133.62217712402344,1.6130218505859375,0.1187656947544724
133.68980407714844,15.0,37344.0,2022-01-07 00:50:26,37344.0,137.26736111111111,138.16673833440768,133.64244435628254,-3.244720458984375,0.02026723225910132
138.13963317871094,16.0,37607.69921875,2022-01-07 16:16:37,37607.7,142.21405423280422,138.1825060304686,133.74532849860913,4.4498291015625,0.10288414232658738
136.213623046875,17.0,37720.0,2022-01-07 21:35:38,37720.0,138.24454365079367,138.00387502316474,133.7202606201172,-1.9260101318359375,-0.0250678784919387
126.5525894165039,18.0,37811.80078125,2022-01-08 02:30:20,37811.8,131.4224318658281,137.93684412036225,134.06944078014743,-9.661033630371094,0.34918016003024377
136.19854736328125,19.0,38039.30078125,2022-01-08 15:12:57,38039.3,142.29581260364844,138.09352207269163,134.2203103342364,9.645957946777344,0.1508695540889562
136.93801879882812,20.0,38221.1015625,2022-01-08 23:22:29,38221.1,139.07657657657657,138.0043389514396,134.14692835653983,0.739471435546875,-0.07338197769655608
127.44456481933594,21.0,38282.0,,,,,134.14277172088623,-9.493453979492188,-0.004156635653600915
136.9227752685547,22.0,38478.69921875,,,,,134.0826597213745,9.47821044921875,-0.06011199951171875
133.67578125,23.0,38623.80078125,2022-01-09 16:31:00,38623.8,136.95454545454547,137.20778636911365,134.08693504333496,-3.2469940185546875,0.004275321960449219
133.06060791015625,24.0,38668.69921875,2022-01-09 18:00:20,38668.7,136.05148467432952,137.20778636911365,134.08693504333496,-0.61517333984375,0.0
133.6614990234375,25.0,38864.69921875,2022-01-10 02:23:22,38864.7,134.48025173611111,137.03082917406437,134.22004052364466,0.60089111328125,0.1331054803096947
