temp1,temp2,temp3,temp4,temp5,temp6,temp7,temp8,temp9,temp10,temp11,temp12,temp13,temp14,temp15,temp16,temp17,temp18,temp19,temp20,temp21,temp22,temp23,temp24,temp25,temp26,temp27,temp28,temp29,temp30,temp31,temp32,temp33,temp34,temp35,temp36,temp37,temp38,temp39,temp40,temp41,temp42,temp43,temp44,temp45,temp46,temp47,temp48,group,use_state
11.23918799646955,11.384819064430715,11.125330979699912,10.997352162400706,11.02559576345984,11.010591350397176,11.071050308914387,10.842894969108562,10.83495145631068,10.772285966460723,11.037952338923212,11.036628420123566,11.025154457193292,10.918358340688437,10.750661959399823,10.807149161518094,10.914386584289497,10.928067078552516,11.049867608120035,11.015887025595763,11.084289496910856,11.050308914386584,10.966460723742276,10.692850838481906,10.836275375110327,10.836716681376876,10.989849955869373,10.894969108561341,11.185348631950573,11.138128861429832,11.22197705207414,11.271403353927626,11.316857899382171,11.468667255075022,11.270079435127979,11.246248896734334,11.398940864960283,11.206090026478376,11.231685789938217,11.160194174757281,11.509708737864077,11.450573698146513,11.270079435127979,11.166813768755516,11.33495145631068,11.10414827890556,11.466460723742276,11.592674315975287,0,-1
16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,15.0,15.0,15.0,15.0,16.0,16.0,0,-1
8.0,8.0,8.0,8.0,7.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0,-1
8.0,7.0,7.0,7.0,8.0,7.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,0,-1
0.0019053743465161422,0.0016672025532016245,0.0016672025532016245,0.0016672025532016245,0.0019053743465161422,0.0016672025532016245,0.0019053743465161422,0.0019053743465161422,0.0019053743465161422,0.0019053743465161422,0.0016672025532016245,0.0016672025532016245,0.0016672025532016245,0.0019053743465161422,0.0019053743465161422,0.0019053743465161422,0.0019053743465161422,0.0019053743465161422,0.0016672025532016245,0.0016672025532016245,0.0016672025532016245,0.0016672025532016245,0.0019053743465161422,0.0019053743465161422,0.0019053743465161422,0.0019053743465161422,0.0016672025532016245,0.0016672025532016245,0.0016672025532016245,0.0016672025532016245,0.0016672025532016245,0.0016672025532016245,0.0019053743465161422,0.0019053743465161422,0.0016672025532016245,0.0016672025532016245,0.0016672025532016245,0.0016672025532016245,0.0016672025532016245,0.0016672025532016245,0.0019053743465161422,0.0019053743465161422,0.0016672025532016245,0.0016672025532016245,0.0016672025532016245,0.0016672025532016245,0.0019053743465161422,0.0019053743465161422,0,-1
9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0,-1
10.3,11.0,10.366666666666667,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.366666666666667,10.033333333333333,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.133333333333333,11.0,11.0,1,-1
11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,1,-1
10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,11.0,11.0,1,-1
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,-1
